TableName,Columns
ServiceTreePpe_FeatureMetadata_Snapshot,"[""; Id; Value; AzureCloud; FeatureId; MetadataId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_FeatureMetadata_Snapshot,"[""; Id; Value; AzureCloud; FeatureId; MetadataId; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_ProductMetadata_Snapshot,"[""; Id; ProductId; ProductLevel; ProductName; Type; Value; Created; CreatedBy; Modified; ModifiedBy; AzureCloud""]"
DataStudio_ServiceTree_ProductHierarchy_Snapshot,"[""; Id; Name; Type; OfferingInternalId; OfferingId; OfferingName; ProductSkuInternalId; ProductSkuId; ProductSkuName; FeatureInternalId; FeatureId; FeatureName; OrganizationId; OrganizationName; OrganizationLevel; ServiceId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_DHE_Snapshot,"[""; Id; ServiceTreeEntityId; ServiceTreeEntityType; ValidationErrorMessage; RuleCode; HasException; ExceptionReason; ExceptionRequestor; ExceptionApprover; ExceptionApprovedDate; ViolationScanDate; ViolationFirstDetected; Property; PropertyType; PropertyId; OwningServiceInternalId; OwningServiceId""]"
ServiceTree_ServiceMetadata_Snapshot_BigObject,"[""; Id; ChangeVersion; Status; Value; AzureCloud; ServiceInternalId; MetadataDefinitionInternalId; ProvisioningStatusInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_AzureSubscriptionMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; SubscriptionId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ServiceMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; AzureCloud; ServiceInternalId; MetadataDefinitionInternalId; ProvisioningStatusInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_OrganizationHierarchy_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; Level; Name; Description; Tags; Comments; ParentDivisionInternalId; ParentOrganizationInternalId; ParentServiceGroupInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ServiceHierarchy_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; Level; Name; ShortName; Description; Tags; Admins; IsBuiltByMicrosoft; IsExternalFacing; Comments; ParentServiceGroupInternalId; ParentTeamGroupInternalId; ParentServiceInternalId; ParentMicroServiceInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_AzureSubscription_Snapshot,"[""; Id; ChangeVersion; Status; SubscriptionId; SubscriptionName; AzureCloud; Environment; IsHostedOnBehalfOf; ServiceInternalId; Notes; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_AzureSubscriptionMetadata_Snapshot,"[""; ChangeVersion; Id; SubscriptionId; SubscriptionName; AzureCloud; Type; Value; Created; CreatedBy; Modified; ModifiedBy""]"
